Input_Term,Hiscox_COB,Full_Industry_Code,PL,GL,BOP,Cyber,Source
Business consulting,Business consulting,54161100_13111100_01000000,Y,Y,Y,Y,Master
Education consulting,Education consulting,54161100_13111100_02000000,Y,Y,Y,Y,Master
Environmental consulting,Environmental consulting,54162000_13111100_00000000,N,N,N,Y,Master
Healthcare consulting,Healthcare consulting,54161100_13111100_03000000,N,N,Y,Y,Master
Human Resources (HR) consulting,Human Resources (HR) consulting,54161200_11312100_00000000,Y,Y,Y,Y,Master
Life science consulting,Life science consulting,54169000_11912100_01000000,N,N,Y,Y,Master
Management consulting,Management consulting,54161100_13111100_04000000,Y,Y,Y,Y,Master
Other consulting services,Other consulting services,54161100_13111100_05000000,Y,Y,Y,Y,Master
Project management,Project management,54161800_13108200_00000000,N,N,N,N,Master
Research consulting,Research consulting,54169000_13111100_00000000,Y,Y,Y,Y,Master
Resume consulting,Resume consulting,54161100_13111100_06000000,Y,Y,Y,Y,Master
Safety consultant,Safety consultant,54169000_11912100_02000000,Y,Y,Y,Y,Master
Strategy consultant,Strategy consultant,54161100_13111100_07000000,Y,Y,Y,Y,Master
Telecommunications consulting,Telecommunications consulting,54161800_13111100_02000000,N,N,Y,Y,Master
Artists,Artists,71151000_27101000_00000000,N,N,Y,Y,Master
Commercial photography,Commercial photography,54192200_27402100_00000000,N,N,Y,Y,Master
Graphic design,Graphic design,54143000_27102400_00000000,Y,Y,Y,Y,Master
Photography,Photography,54192100_27402100_01000000,Y,Y,Y,Y,Master
Photography studio,Photography studio,54192100_27402100_02000000,N,N,Y,Y,Master
Videography,Videography,54192200_27403100_00000000,N,N,Y,Y,Master
Accounting,Accounting,54121100_13201100_01000000,Y,Y,Y,Y,Master
Actuarial services,Actuarial services,52429800_15201100_00000000,N,Y,Y,Y,Master
Auditor,Auditor,54121100_13201100_02000000,N,N,N,Y,Master
Bookkeeping,Bookkeeping,54121900_43303100_00000000,Y,Y,Y,Y,Master
Certified public accountant,Certified public accountant,54121100_13201100_03000000,N,N,Y,Y,Master
Credit counseling,Credit counseling,54199000_13207100_00000000,N,Y,Y,Y,Master
Financial auditing or consulting,Financial auditing or consulting,54169000_13206100_00000000,N,Y,Y,Y,Master
Financial planner,Financial planner,52393000_13205200_01000000,N,N,Y,Y,Master
Insurance adjuster,Insurance adjuster,52429800_13103100_01000000,N,N,Y,Y,Master
Insurance agent,Insurance agent,52421000_41302100_00000000,Y,Y,Y,Y,Master
Investment advice,Investment advice,52393000_13205200_02000000,N,Y,Y,Y,Master
Medical billing,Medical billing,54121900_43302100_00000000,Y,Y,Y,Y,Master
Mortgage brokering/banking,Mortgage brokering/banking,52231000_13207200_00000000,N,Y,Y,N,Master
Office administrative services,Office administrative services,56111000_43601000_00000000,N,N,Y,Y,Master
Stock brokering,Stock brokering,52312000_41303100_00000000,N,Y,Y,Y,Master
Tax preparation,Tax preparation,54121300_13208200_00000000,Y,Y,Y,Y,Master
Exterior cleaning services,Exterior cleaning services,56179000_37201900_02000200,N,Y,N,Y,Master
Janitorial/cleaning services,Janitorial/cleaning services,56172000_37201100_01000000,N,Y,N,Y,Master
Landscaping/gardening services,Landscaping/gardening services,56173000_37301100_01000000,Y,Y,N,Y,Master
Lawn care services,Lawn care services,56173000_37301100_02000000,N,Y,N,Y,Master
Power washing services,Power washing services,56179000_37201900_01000000,N,N,N,Y,Master
Snow blowing and removal (no auto coverage),Snow blowing and removal (no auto coverage),56179000_37301100_01000000,N,N,N,Y,Master
Attorneys office,Attorneys office,54111000_23101100_01000000,N,N,Y,N,Master
Claims adjusting,Claims adjusting,52429100_13103100_00000000,Y,Y,Y,Y,Master
Court reporting,Court reporting,56149200_27309200_00000000,Y,Y,Y,Y,Master
Document preparation,Document preparation,56141000_23101200_00000000,Y,Y,Y,Y,Master
Expert witness services,Expert witness services,54119900_19409200_00000000,Y,Y,Y,Y,Master
Insurance inspector,Insurance inspector,52429800_13103100_02000000,Y,Y,Y,Y,Master
Lawyers office,Lawyers office,54111000_23101100_02000000,N,N,Y,N,Master
Legal services,Legal services,54111000_23101100_03000000,N,Y,Y,N,Master
Notary services,Notary services,54112000_23209900_00000000,Y,Y,Y,Y,Master
Process server,Process server,54119900_23209900_00000000,Y,Y,Y,Y,Master
Title abstracter,Title abstracter,54119100_23209300_00000000,N,N,Y,N,Master
Trustee services,Trustee services,52399100_23209900_00000000,N,Y,Y,Y,Master
Advertising,Advertising,54181000_41301100_00000000,Y,Y,Y,Y,Master
Brand consultant,Brand consultant,54161300_13116100_01000000,Y,Y,Y,Y,Master
Communications/media/public relations,Communications/media/public relations,54182000_27303100_01000000,N,N,Y,Y,Master
Digital marketing,Digital marketing,54161300_13116100_02000000,Y,Y,Y,Y,Master
Direct marketing,Direct marketing,54186000_13116100_00000000,Y,Y,Y,Y,Master
Image consulting,Image consulting,54182000_27303100_02000000,N,N,Y,Y,Master
Market research,Market research,54191000_13116100_00000000,Y,Y,Y,Y,Master
Marketing/media consulting,Marketing/media consulting,54161300_13116100_03000000,Y,Y,Y,Y,Master
Other marketing/PR services,Other marketing/PR services,54161300_13116100_04000000,Y,Y,Y,Y,Master
Public relations,Public relations,54182000_27303100_03000000,Y,Y,Y,Y,Master
Search engine services (SEO/SEM),Search engine services (SEO/SEM),54161400_13116100_00000000,Y,Y,Y,Y,Master
Social media consultant,Social media consultant,54161300_13116100_05000000,Y,Y,Y,Y,Master
Allergists Offices,Allergists Offices,62111100_29122900_01000000,N,N,Y,Y,Master
Cardiologists Offices,Cardiologists Offices,62111100_29121200_00000000,N,N,Y,Y,Master
Chiropractor,Chiropractor,62131000_29101100_00000000,N,N,Y,Y,Master
Dental Hygienist,Dental Hygienist,62139900_29129200_00000000,N,N,Y,Y,Master
Dental Laboratories,Dental Laboratories,33911600_29201100_00000000,N,N,Y,Y,Master
Dentists Office,Dentists Office,62121000_29102100_00000000,N,N,Y,Y,Master
Dermatologists Offices,Dermatologists Offices,62111100_29121300_00000000,N,N,Y,Y,Master
Diagnostic imaging/X-ray centers,Diagnostic imaging/X-ray centers,62151200_29201100_00000000,N,N,Y,Y,Master
"Ear, Nose, & Throat Offices","Ear, Nose, & Throat Offices",62111100_29122900_02000000,N,N,Y,Y,Master
Endocrinologists Offices,Endocrinologists Offices,62111100_29122900_03000000,N,N,Y,Y,Master
Gastroenterologist Offices,Gastroenterologist Offices,62111100_29122900_04000000,N,N,Y,Y,Master
General Practitioners Offices,General Practitioners Offices,62111100_29121500_01000000,N,N,Y,Y,Master
Geriatric Specialists Offices,Geriatric Specialists Offices,62111100_29122900_05000000,N,N,Y,Y,Master
Gynecologists Offices,Gynecologists Offices,62111100_29121800_01000000,N,N,Y,Y,Master
Health Practitioners Office,Health Practitioners Office,62139900_29122900_00000000,N,N,Y,Y,Master
Hematologists Offices,Hematologists Offices,62111100_29122900_06000000,N,N,Y,Y,Master
Internists Offices,Internists Offices,62111100_29121600_00000000,N,N,Y,Y,Master
Medical doctor/physician,Medical doctor/physician,62111100_29121500_02000000,N,N,Y,Y,Master
Medical Laboratories,Medical Laboratories,62151100_29201100_00000000,N,N,Y,Y,Master
Nephrologists Offices,Nephrologists Offices,62111100_29122900_07000000,N,N,Y,Y,Master
Neurologists Offices,Neurologists Offices,62111100_29121700_00000000,N,N,Y,Y,Master
Obstetricians Offices,Obstetricians Offices,62111100_29121800_02000000,N,N,Y,Y,Master
Oncologists Offices,Oncologists Offices,62111100_29122900_08000000,N,N,Y,Y,Master
Ophthalmologists Offices,Ophthalmologists Offices,62111100_29124100_00000000,N,N,Y,Y,Master
Optometrist/Opthalmologist,Optometrist/Opthalmologist,62132000_29104100_00000000,N,N,Y,Y,Master
Oral Surgeons Offices,Oral Surgeons Offices,62121000_29102200_01000000,N,N,Y,Y,Master
Orthodontist/Periodontist/Oral surgeon,Orthodontist/Periodontist/Oral surgeon,62121000_29102200_02000000,N,N,Y,Y,Master
Orthodontists Offices,Orthodontists Offices,62121000_29102300_00000000,N,N,Y,Y,Master
Orthopedic Surgeons Offices,Orthopedic Surgeons Offices,62111100_29124200_00000000,N,N,Y,Y,Master
Osteopaths Offices,Osteopaths Offices,62111100_29122900_09000000,N,N,Y,Y,Master
Pediatricians Offices,Pediatricians Offices,62111100_29122100_00000000,N,N,Y,Y,Master
Physicians Office,Physicians Office,62111100_29122900_10000000,N,N,Y,Y,Master
Podiatrist,Podiatrist,62139100_29108000_00000000,N,N,Y,Y,Master
Primary Care Offices,Primary Care Offices,62111100_29121500_03000000,N,N,Y,Y,Master
Psychiatrists Offices,Psychiatrists Offices,62111200_29122300_00000000,N,N,Y,Y,Master
Psychologists Offices,Psychologists Offices,62133000_19303300_00000000,N,N,Y,Y,Master
Pulmonologists Offices,Pulmonologists Offices,62111100_29122900_11000000,N,N,Y,Y,Master
Surgeons Offices,Surgeons Offices,62111100_29124900_00000000,N,N,Y,Y,Master
Urologists Offices,Urologists Offices,62111100_29122900_12000000,N,N,Y,Y,Master
Alumni non profit,Alumni non profit,81341000_11203300_00000000,N,N,N,Y,Master
Answering/paging services,Answering/paging services,56142100_43201100_00000000,Y,Y,Y,Y,Master
Auctioneering,Auctioneering,45439000_41909900_00000000,Y,Y,Y,Y,Master
Business manager services,Business manager services,56149900_13101100_00000000,Y,Y,Y,Y,Master
Business non profit,Business non profit,81391000_11203300_01000000,N,N,Y,Y,Master
Chamber of commerce,Chamber of commerce,81391000_11915100_00000000,N,N,Y,Y,Master
Charitable foundation,Charitable foundation,81321100_11203300_00000000,N,N,Y,Y,Master
Civic non profit,Civic non profit,81391000_11203300_02000000,N,N,Y,Y,Master
Delivery service providers,Delivery service providers,49221000_11101100_00000000,N,N,N,Y,Master
Event planning/promotion,Event planning/promotion,81299000_13112100_00000000,Y,Y,N,Y,Master
Executive placement,Executive placement,56131200_13107100_00000000,Y,Y,Y,Y,Master
Funeral homes,Funeral homes,81221000_11101100_00000000,N,N,Y,Y,Master
Insurance agent association,Insurance agent association,81391000_11102100_00000000,N,N,Y,Y,Master
Learning center,Learning center,61169100_25304100_01000000,Y,Y,Y,Y,Master
Learning center - test prep,Learning center - test prep,61169100_25304100_02000000,Y,Y,Y,Y,Master
Library,Library,51912000_11101100_00000000,N,N,Y,Y,Master
Life/career/executive coaching,Life/career/executive coaching,54161100_11101100_00000000,Y,Y,Y,Y,Master
Manufacturer sales representative,Manufacturer sales representative,42512000_41401200_00000000,Y,Y,Y,Y,Master
Offices - NOC - High hazard,Offices - NOC - High hazard,56111000_11102100_01000000,N,N,N,N,Master
Offices - NOC - Low hazard,Offices - NOC - Low hazard,56111000_11102100_02000000,N,N,N,N,Master
Offices - NOC - Medium hazard,Offices - NOC - Medium hazard,56111000_11102100_03000000,N,N,N,N,Master
Packaging services,Packaging services,56191000_53706400_00000000,N,N,N,Y,Master
Personal concierge/assistant,Personal concierge/assistant,81299000_39601200_00000000,Y,Y,Y,Y,Master
Professional non profit,Professional non profit,81391000_11203300_03000000,N,N,Y,Y,Master
Professional training,Professional training,61143000_25119900_00000000,Y,Y,Y,Y,Master
Radio station (no antenna/tower),Radio station (no antenna/tower),51511200_11102100_01000000,N,N,N,Y,Master
Recruiting (employment placements),Recruiting (employment placements),56131100_13107100_00000000,Y,Y,Y,Y,Master
Services - NOC - High hazard,Services - NOC - High hazard,81299000_11919900_01000000,N,N,N,N,Master
Services - NOC - Low hazard,Services - NOC - Low hazard,81299000_11919900_02000000,N,N,N,N,Master
Services - NOC - Medium hazard,Services - NOC - Medium hazard,81299000_11919900_03000000,N,N,N,N,Master
Stenographer/Secretarial services,Stenographer/Secretarial services,56141000_42902200_00000000,N,N,Y,Y,Master
Talent agency,Talent agency,71141000_13101100_00000000,Y,Y,Y,Y,Master
Taxidermists,Taxidermists,71151000_27101900_00000000,N,N,Y,Y,Master
Telemarketer,Telemarketer,56142200_41904100_00000000,N,N,Y,Y,Master
Ticket agency,Ticket agency,56159900_43418100_00000000,N,N,Y,Y,Master
Trade Association non profit,Trade Association non profit,81391000_11203300_04000000,N,N,Y,Y,Master
Training & development consulting,Training & development consulting,61143000_13115100_00000000,Y,Y,Y,Y,Master
"Training (business, vocational or life skills)","Training (business, vocational or life skills)",61169900_13115100_01000000,Y,Y,Y,Y,Master
Translating/interpreting,Translating/interpreting,54193000_27309100_00000000,Y,Y,Y,Y,Master
Travel agency,Travel agency,56151000_41304100_00000000,Y,Y,Y,Y,Master
Tutoring,Tutoring,61169100_25309900_00000000,Y,Y,Y,Y,Master
Barbecue truck/trailer operator,Barbecue truck/trailer operator,72233000_11101100_01000000,N,Y,N,Y,Master
Catering services,Catering services,72232000_11101100_00000000,N,N,N,Y,Master
Coffee/donut cart operator,Coffee/donut cart operator,72233000_11101100_02000000,N,Y,N,Y,Master
Food truck/trailer operator,Food truck/trailer operator,72233000_11101100_03000000,N,Y,N,Y,Master
Food/beverage cart operator,Food/beverage cart operator,72233000_11101100_04000000,N,Y,N,Y,Master
Hot dog cart operator,Hot dog cart operator,72233000_11101100_05000000,N,Y,N,Y,Master
Ice cream truck operator,Ice cream truck operator,72233000_11101100_06000000,N,Y,N,Y,Master
Ice cream/snow cone/shaved ice cart operator,Ice cream/snow cone/shaved ice cart operator,72233000_11101100_07000000,N,Y,N,Y,Master
Lemonade cart operator,Lemonade cart operator,72233000_11101100_08000000,N,Y,N,Y,Master
Mobile food concessions,Mobile food concessions,72233000_11101100_09000000,N,Y,N,Y,Master
Mobile food services,Mobile food services,72233000_11101100_10000000,N,Y,N,Y,Master
Mobile food vending services,Mobile food vending services,72233000_11101100_11000000,N,Y,N,Y,Master
Mobile kitchen operator,Mobile kitchen operator,72233000_11101100_12000000,N,Y,N,Y,Master
Mobile street food vendor,Mobile street food vendor,72233000_11101100_13000000,N,Y,N,Y,Master
Refreshment Stand with or w/o Cooking,Refreshment Stand with or w/o Cooking,72221100_11101100_02000000,N,N,N,Y,Master
Refreshment Stands,Refreshment Stands,72221300_11101100_00000000,N,N,N,Y,Master
Snack truck operator,Snack truck operator,72233000_11101100_14000000,N,Y,N,Y,Master
"Snack, Nonalcoholic Beverages Stands","Snack, Nonalcoholic Beverages Stands",72233000_11101100_15000000,N,N,N,Y,Master
Kennels (Boarding),Kennels (Boarding),81291000_39202000_01000000,N,N,N,Y,Master
Other veterniarian services,Other veterniarian services,54194000_29113100_01000000,N,N,Y,Y,Master
Pet daycare,Pet daycare,81291000_39202000_02000000,N,N,N,Y,Master
Pet grooming,Pet grooming,81291000_39202000_03000000,N,N,N,Y,Master
Pet Grooming Services - Mobile,Pet Grooming Services - Mobile,81291000_39202000_04000000,N,N,N,Y,Master
Pet Motel/Hotel,Pet Motel/Hotel,81291000_39202000_05000000,N,N,N,Y,Master
Pet sitting,Pet sitting,81291000_39202000_06000000,N,N,N,Y,Master
Pet supply store,Pet supply store,45391000_11101100_00000000,N,N,N,Y,Master
Pet Training,Pet Training,81291000_39201100_00000000,N,N,N,Y,Master
Veterinary Services - Domestic Only,Veterinary Services - Domestic Only,54194000_29113100_02000000,N,N,Y,Y,Master
Veterinary Services - Large Animals Only,Veterinary Services - Large Animals Only,54194000_29113100_03000000,N,N,Y,Y,Master
Veterinary Services - Mixed (Domestic and Large) Animals,Veterinary Services - Mixed (Domestic and Large) Animals,54194000_29113100_04000000,N,N,Y,Y,Master
Book Printing,Book Printing,32311700_51511200_00000000,N,N,Y,Y,Master
Book publishing (no printing),Book publishing (no printing),51113000_51511300_01000000,N,N,Y,Y,Master
Bookbinding & Related Work,Bookbinding & Related Work,32312000_51511300_00000000,N,N,Y,Y,Master
Business Forms Printing,Business Forms Printing,32311600_51511200_00000000,N,N,Y,Y,Master
Commercial Printing - Lithography,Commercial Printing - Lithography,32311100_51511200_01000000,N,N,Y,Y,Master
Commercial Printing - Prepress Services,Commercial Printing - Prepress Services,32312000_51511100_01000000,N,N,Y,Y,Master
Copy Shops,Copy Shops,56143900_43907100_01000000,N,N,Y,Y,Master
Digital Printing,Digital Printing,32311100_51915100_00000000,N,N,Y,Y,Master
Film Processing,Film Processing,81292100_51915100_01000000,N,N,Y,Y,Master
Mail Box & Packaging Services,Mail Box & Packaging Services,56143100_53706400_00000000,N,N,Y,Y,Master
Newspaper publishing (no printing),Newspaper publishing (no printing),51111000_51511300_01000000,N,N,Y,Y,Master
Other Commercial Printing Services,Other Commercial Printing Services,32311100_51511200_02000000,N,N,Y,Y,Master
Periodical publishing (no printing),Periodical publishing (no printing),51112000_51511200_01000000,N,N,Y,Y,Master
Photo Engraving,Photo Engraving,32312000_51511100_02000000,N,N,Y,Y,Master
Photo Finishing (One-Hour),Photo Finishing (One-Hour),81292200_51915100_01000000,N,N,Y,Y,Master
Photocopying and duplicating services,Photocopying and duplicating services,56143900_43907100_02000000,N,N,Y,Y,Master
Photofinishing Laboratories,Photofinishing Laboratories,81292100_51915100_02000000,N,N,Y,Y,Master
Printing Support Activities,Printing Support Activities,32312000_51511200_00000000,N,N,Y,Y,Master
Publishers - Database,Publishers - Database,51913000_51511300_00000000,N,N,Y,Y,Master
Publishers - Greeting Cards,Publishers - Greeting Cards,51119100_51511300_00000000,N,N,Y,Y,Master
Publishers - Magazine,Publishers - Magazine,51112000_51511300_00000000,N,N,Y,Y,Master
Publishing (including printing),Publishing (including printing),51119900_51511300_01000000,N,N,Y,Y,Master
Quick Printing,Quick Printing,32311100_51511200_03000000,N,N,Y,Y,Master
Screen printing,Screen printing,32311300_51511200_00000000,N,N,Y,Y,Master
Property management,Property management,53131100_11914100_00000000,Y,Y,N,Y,Master
Real estate agent/broker,Real estate agent/broker,53121000_41902100_00000000,Y,Y,Y,Y,Master
Real estate appraisers,Real estate appraisers,53132000_13202300_00000000,N,N,Y,Y,Master
Bagel Shops,Bagel Shops,72251500_11101100_01000000,N,N,Y,Y,Master
Bakery shops,Bakery shops,72251300_51301100_00000000,N,N,Y,Y,Master
Burrito and Taco Shops,Burrito and Taco Shops,72221100_11101100_01000000,N,N,N,Y,Master
Coffee Bars or Cafés,Coffee Bars or Cafés,72251500_11101100_02000000,N,N,Y,Y,Master
Coffee shops,Coffee shops,72251500_11101100_03000000,N,N,Y,Y,Master
Delis and Delicatessens,Delis and Delicatessens,72251300_11101100_01000000,N,N,Y,Y,Master
Donut shops,Donut shops,72251300_11101100_02000000,N,N,Y,Y,Master
Frozen Yogurt Shops,Frozen Yogurt Shops,72251500_11101100_05000000,N,N,Y,Y,Master
Ice cream and frozen yogurt shops,Ice cream and frozen yogurt shops,72251500_11101100_06000000,N,N,Y,Y,Master
Ice Cream Shops,Ice Cream Shops,72251500_11101100_07000000,N,N,Y,Y,Master
Juice bars,Juice bars,72251500_11101100_08000000,N,N,Y,Y,Master
"Limited Service Restaurant With Alcohol <75% Of Total Receipts, w/o Dance Floor","Limited Service Restaurant With Alcohol <75% Of Total Receipts, w/o Dance Floor",72251100_11101100_00000000,N,N,N,N,Master
"Limited Service Restaurant No Alcohol, w/o Dance Floor","Limited Service Restaurant No Alcohol, w/o Dance Floor",72251300_11101100_03000000,N,N,N,Y,Master
Pizza Parlors & Delis - No Table Service,Pizza Parlors & Delis - No Table Service,72251300_11101100_04000000,N,N,N,Y,Master
Refreshment Stands (Non-Alcoholic),Refreshment Stands (Non-Alcoholic),72251500_11101100_11000000,N,N,N,Y,Master
Sandwich Shops,Sandwich Shops,72251300_11101100_05000000,N,N,Y,Y,Master
Self Service with or w/o Cooking,Self Service with or w/o Cooking,72251500_11101100_12000000,N,N,N,Y,Master
Smoothie bars,Smoothie bars,72251500_11101100_13000000,N,N,Y,Y,Master
Appliance/electronic stores,Appliance/electronic stores,44314100_11101100_00000001,N,Y,N,Y,Master
Art Dealers or Galleries,Art Dealers or Galleries,45392000_11101100_00000000,N,N,Y,Y,Master
"Art, Craft & Hobby Supply Stores","Art, Craft & Hobby Supply Stores",45399800_11101100_00000001,N,N,Y,Y,Master
"Art, Picture, & Poster Stores","Art, Picture, & Poster Stores",44229900_11101100_00000001,N,N,Y,Y,Master
Athletic Footwear Stores,Athletic Footwear Stores,44815000_11101100_00000001,N,N,Y,Y,Master
Automotive Parts & Accessories Stores,Automotive Parts & Accessories Stores,44131000_11101100_00000000,N,N,N,Y,Master
Balloon Shops,Balloon Shops,45322000_11101100_00000001,N,N,Y,Y,Master
"Bath, Chinaware & Glassware Shops","Bath, Chinaware & Glassware Shops",44229900_11101100_00000002,N,N,Y,Y,Master
Bedding Stores,Bedding Stores,44229900_11101100_00000003,N,N,Y,Y,Master
Beverage Store - Beer and Wine,Beverage Store - Beer and Wine,44531000_11101100_00000000,N,N,N,N,Master
Beverage Stores - Soft Drinks,Beverage Stores - Soft Drinks,44529900_11101100_00000001,N,N,Y,Y,Master
Book & Magazine Stores,Book & Magazine Stores,45121100_11101100_00000000,N,N,Y,Y,Master
Bottled Water Stores,Bottled Water Stores,44529900_11101100_00000002,N,N,Y,Y,Master
Bridal Shops,Bridal Shops,44819000_11101100_00000001,N,N,Y,Y,Master
Butcher Shops,Butcher Shops,44521000_51302200_00000000,N,N,N,N,Master
Camera & Photo Equipment Stores,Camera & Photo Equipment Stores,44314200_11101100_00000001,N,N,N,Y,Master
Candle Shops,Candle Shops,45399800_11101100_00000002,N,N,Y,Y,Master
Candy & Confectionery Stores,Candy & Confectionery Stores,44529200_11101100_00000001,N,N,Y,Y,Master
Cell Phone stores,Cell Phone stores,44314200_11101100_00000002,N,N,N,Y,Master
Cheese Shops,Cheese Shops,44529900_11101100_00000003,N,N,Y,Y,Master
Children's & Infants Clothing Stores,Children's & Infants Clothing Stores,44813000_11101100_00000000,N,N,Y,Y,Master
"China, Ceramic, & Pottery Stores","China, Ceramic, & Pottery Stores",44229900_11101100_00000004,N,N,Y,Y,Master
Christmas Stores,Christmas Stores,45322000_11101100_00000002,N,N,Y,Y,Master
Church Supply Stores,Church Supply Stores,42349000_11101100_00000000,N,N,Y,Y,Master
Clock Stores,Clock Stores,44831000_11101100_00000001,N,N,Y,Y,Master
Clothing/apparel stores,Clothing/apparel stores,44819000_11101100_00000002,N,Y,Y,Y,Master
